sentence	utterance
That's got to be fun for you, huh? Watching Hofstadter suck the saliva out of your sister's mouth?	['sister is related to sibling', 'sister is related to girl', 'sister is related to female', 'sister is related to brother', 'sister is related to family', '*Something you find in your mouth is saliva', 'be is related to exist', 'being is related to to be', '*Something you find in your mouth is teeth', '*Something you find in your mouth is your tongue', 'lip is related to mouth', 'taste is related to mouth', 'You are likely to find a tooth in your mouth', 'A mouth has lips', 'napkin is related to mouth']
Yeah, it's a great time to be alive, isn't it?	['An animal is alive', 'dead is not alive', 'If you want to breathe then you should be alive', 'a tree is alive', 'trees are alive', 'a plant is alive', 'be is related to exist', 'being is related to to be', 'minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'morning is related to time', 'evening is related to time', 'time is related to minutes', 'great is related to good', 'great is related to alexander']
I'm not saying that you're not fun. You're the most fun person I know.	"['Sex is fun', 'party is related to fun', 'The effect of playing is fun.', 'The effect of playing a game with your friends is fun', 'play is related to fun', 'playing sports is for fun', 'Something that might happen when you play games is fun', 'going to a party is for fun', 'game is related to fun', 'person is related to human', 'A person can cross a street', 'A person can thank another person', 'a person can voice an opinion', 'person can wind clock', 'doll is related to person', 'character is related to person', 'a person wants a headache', 'a person wants clothing', 'A slave is a person', '""a person doesnt want to be diseased""']"
Saying that while holding a snowflake is a bit heavy-handed, don't you think?	['a bit is part of a byte', 'bit is related to small', 'bit is related to piece', 'bit is related to little', 'bit is related to drill', 'You are likely to find a snowflake in the winter', 'If you want to contemplate then you should think', 'If you want to create an idea then you should think', 'Something you might do while answering questions is Think', 'One of the things you do when you analyse something is think', 'One of the things you do when you contemplate is think', 'If you want to answer questions then you should think', 'Something you need to do before you talk to someone is think']
I'm sorry, Sheldon bought a loom and learned how to weave?	['You can use a loom to weave cloth', 'weave is a way to travel', 'meander is a synonym of weave', 'wander is a synonym of weave', 'brocade is a way to weave', 'regret is related to sorry']
Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple.	['You are likely to find a cat in your way', 'door is related to way', 'course is related to golf', 'course is related to class', 'course is related to path', 'course is related to college', 'much is related to lot', 'much is the opposite of little', 'price is related to much', 'Somewhere a baby can be is in the womb', 'womb is a synonym of uterus', 'rent is related to payment', 'rent is related to monthly', 'rent is related to apartment', 'rent is related to lease', 'rent is related to house', 'let is related to rent', 'a couple can tie the knot', 'A couple is two', 'An activity a couple can do is watch a movie', 'a couple can row about anything', 'a puzzle is a problem', 'trouble is related to problem', 'problem is related to math', 'problem is related to issue', 'problem is related to solution', 'makeup is related to face', 'lip-gloss is a type of makeup', 'makeup is a type of event', 'makeup is used for change', 'war paint is a synonym of makeup', 'makeup is used for change', 'Gay is a slang term for homosexual', 'You would get a divorce because you are gay', 'my partner is gay', 'girlfriend is a type of lover', 'squirrel is related to cute', 'puppies and children are cute', 'city is related to new', 'modern is related to new', 'new is not old', 'baby is related to new', 'fresh is related to new', 'have is related to possess', 'have is related to own', 'must is related to have', 'need is related to have']
Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint.	['course is related to golf', 'course is related to class', 'course is related to path', 'course is related to college', 'induce is used in the context of logic', 'lead is a way to induce', 'ipecac is a type of emetic', 'You would buy presents for others because you like them', 'like is related to love', 'servant is related to like', 'Something that might happen as a consequence of watching a film is you like it', 'You would entertain someone because you like them', 'like is related to similar', 'squirrel is related to like', 'penicillinase-resistant antibiotic is a type of penicillin', 'penicillin is a type of antibiotic', 'Penicillin is an antibiotic', 'methicillin is a type of penicillin']
"He drank from Leonard's glass. ""He drank from Leonard's glass""-- the words they'll be carving into my tombstone."	['be is related to exist', 'being is related to to be', 'window is related to glass', 'a glass is used for drinking', 'glass is related to clear', 'glass is related to material', 'A glass can be broken', 'grave is related to tombstone', 'tombstone is a synonym of gravestone']
Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.	['casual is a synonym of perfunctory', 'casual is a synonym of fooling', 'effortless is a synonym of casual']
I gargled with tequila and may have swallowed a teeny bit.	['a bit is part of a byte', 'bit is related to small', 'bit is related to piece', 'bit is related to little', 'bit is related to drill', 'teeny is a synonym of teensy-weensy', 'have is related to possess', 'have is related to own', 'must is related to have', 'need is related to have']
is an event that's like a heart attack.	['The heart is a muscle', 'home is related to heart', 'a heart is for pumping blood', 'the heart is part of a human body', 'The heart is part of the body', 'a heart is a pump for blood', 'party is related to event', 'birthday is related to event', 'event is related to happening', 'a party is a event', 'A miracle is an event', 'an event can happen to someone', 'attack is related to war', 'attack is related to fight']
Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you.	['be is related to exist', 'being is related to to be', 'girlfriend is a type of lover', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good']
I'd like to respond to that sarcastically: Yes, I relish the thought of a stranger covering my body with oil and rubbing it.	['body is related to human', 'head is related to body', 'hand is related to body', 'eye is related to body', 'leg is related to body', 'bone is related to body', 'body is related to person', 'reply is related to respond', 'idea is related to thought', 'creating an idea requires some thought', 'dream is related to thought', 'You would buy presents for others because you like them', 'like is related to love', 'servant is related to like', 'Something that might happen as a consequence of watching a film is you like it', 'You would entertain someone because you like them', 'like is related to similar', 'squirrel is related to like', 'oil is related to liquid', 'oil is related to black', 'oil is related to fuel', 'oil is related to petroleum', 'oil is related to crude', 'oil is related to gasoline', 'You are likely to find oil in the ground', 'oil is related to gas', 'oil is related to gold', 'a stranger is for meeting', 'A stranger is somebody you do not know', 'stranger is related to person']
Congratulations and welcome temporarily aboard. Here's your I.D. card, your key and your lapel pin. Which Leonard was too cool to wear.	['tack is related to pin', 'A key can open a lock', 'a key can open doors', 'You can use a key to open a lock', 'a key is used for opening doors', '*Something you find in a pocket is a key', 'key can start car', 'a key is for opening a lock', 'You are likely to find a key in keychain', 'a key is used for unlocking', 'dress is related to wear', 'crown is related to wear', 'sock is related to wear', 'shoe is related to wear', 'lapel is a type of lap', 'card is related to paper', 'card is related to greeting', 'card is related to deck', 'card is related to playing', 'card is related to birthday', 'card is related to poker', 'You are likely to find a card in a deck', 'card is related to game', 'The first thing you do when you have friends over is welcome them', 'shade is related to cool', 'You would get wet because you want to be cool']
Of course you do. You're a cutie pie! Any girl would be lucky to have you!	['daughter is related to girl', 'doll is related to girl', 'girl is related to female', 'chick is related to girl', 'girl is related to young', 'sister is related to girl', 'boy is related to girl', 'girl is related to woman', 'boy is not girl', 'course is related to golf', 'course is related to class', 'course is related to path', 'course is related to college', 'lucky is related to fortunate', 'lucky is similar to apotropaic', 'cake is related to pie', 'apple is related to pie', '*Something you find in the oven is a pie', '*Something you find on the windowsill is a pie', 'be is related to exist', 'being is related to to be', 'have is related to possess', 'have is related to own', 'must is related to have', 'need is related to have']
Oh, I could so see you being the face of hemorrhoids.	['eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see', 'eye is related to face', 'nose is related to face', 'You are likely to find a nose in your face', 'face is related to head', 'face is related to eyes', 'mouth is related to face']
"All right, so technically it's not a dinner date. I suppose you could call it a, uh, dinfast date. But if you did, you'd open yourself to peer-based mocking, such as, ""Hey, Leonard, how was your dinfast with Priya last night?"""	['plate is related to dinner', 'dinner is a kind of meal', 'napkin is related to dinner', 'Sometimes following a recipe causes dinner', '*Something you find at dinner is bread', '*Something you find at dinner is drinks', 'If you want to read the newspaper then you should open it', 'door is related to open', 'wound is related to open', 'a door can open.', 'If you want to read a book then you should open it', 'field is related to open', 'last is a synonym of in conclusion', 'last is similar to ultimate', 'dying is similar to last', 'evening is related to night', 'dream is related to night', 'sleep is related to night', 'night is related to dark', 'moon is related to night', 'day is not night', 'much is similar to such', 'playful is similar to mocking', 'mocking is a synonym of derisive', 'mocking is similar to playful', 'teasing is a synonym of mocking', 'quizzical is a synonym of mocking', 'call is related to phone', 'call is related to telephone', 'You would remember a phone number because you want to call someone', 'call is related to ring', 'call is related to action', 'If you want to meet a friend then you should call them', 'turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct', 'birthday is related to date', 'due is related to date', 'date is related to calendar', 'date is related to day']
When you're done copping a feel, that goes on my wrist.	['watch is related to wrist', 'hand is related to wrist', 'touch is related to feel', 'feel is related to sense']
Because you don't have a girlfriend? Well, good Lord, if that becomes a reason not to play Dungeons & Dragons, this game's in serious trouble.	['intellectual is similar to serious', 'serious is similar to serious-minded', 'difficult is similar to serious', 'serious is similar to difficult', 'solid is similar to serious', 'serious is similar to overserious', 'Polo is a game', 'football is a type of game', 'Baseball is a game', 'Chess is a game', 'game is related to play', 'game is related to fun', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'purpose is related to reason', 'because is related to reason', 'cause is related to reason', 'trouble is related to bad', 'trouble is related to problem', 'danger is related to trouble', 'girlfriend is a type of lover', 'You would play because you want to have some fun', 'play is related to fun', 'toy is related to play', 'game is related to play', 'play is related to activity', 'have is related to possess', 'have is related to own', 'must is related to have', 'need is related to have']
Here's some other fun news on the Raj/Emily front. He gave her a pair of diamond earrings and leased her a car.	['news is related to information', '*Something you find on television is news', 'news is related to paper', 'news is related to daily', 'news is related to current', 'news is related to events', 'news is related to tv', 'You would read a newspaper because you want the news', 'Sex is fun', 'party is related to fun', 'The effect of playing is fun.', 'The effect of playing a game with your friends is fun', 'play is related to fun', 'playing sports is for fun', 'Something that might happen when you play games is fun', 'going to a party is for fun', 'game is related to fun', 'cover is related to front', 'face is related to front', 'back is not front', 'door is related to front', 'back is the opposite of front', 'drive is related to car', 'You are likely to find a car in the city', 'You are likely to find a car in a parking lot', 'car is related to vehicle', 'A car can go fast', 'a car can crash', 'a car has seats', '*Something you find at the repair shop is a car', 'foreign is related to other', 'ring is related to diamond', 'A diamond is a precious stone', 'a diamond is used for cutting']
Smart. Whisper so the deaf chick can't hear you.	['listen is related to hear', 'sound is related to hear', 'hear is related to sense', 'hear is related to ears', 'chick is related to baby', 'chick is related to hen', 'chick is related to bird', 'chick is related to girl', 'chick is related to young', 'chick is related to small', 'chick is related to rooster', 'deaf is a synonym of deafen', 'deaf is similar to deaf-and-dumb', 'deaf is similar to tone-deaf', 'hearing-impaired is similar to deaf', 'profoundly deaf is similar to deaf']
You just got off the list. Would you like back on it? This'll just take a moment. It's on a five and a quarter inch floppy.	['inch is related to measurement', 'inch is related to foot', 'inch is related to measure', 'inch is related to unit', 'inch is related to small', 'coin is related to quarter', 'distribution list is a type of list', 'list is a synonym of number', 'hit parade is a type of list', 'index is a way to list', 'short list is a type of list', 'key is a type of list', 'You would buy presents for others because you like them', 'like is related to love', 'servant is related to like', 'Something that might happen as a consequence of watching a film is you like it', 'You would entertain someone because you like them', 'like is related to similar', 'squirrel is related to like', 'something that is floppy is not rigid', 'lax is similar to floppy', 'floppy is a synonym of diskette', 'floppy is similar to lax', 'moment is related to time', 'rest is related to take', 'bring is related to take', 'accept is related to take']
You see betrayal in others, but not yourself.	"['betrayal is a synonym of treachery', '""a person doesnt want betrayal""', 'betrayal is a type of treason']"
I don't know what I'm going to do. I don't want to break up over this.	['You would find information because you want to know something', 'You would read the news because you want to know', 'You would learn because you want to know something', 'You would read a book because you want to know', 'A stranger is somebody you do not know', 'rest is related to break', 'smash is related to break', 'Something that might happen when you fiddle is that you break something', 'break is related to snap', 'escape is related to break', 'break is related to fracture', 'break is related to broken', 'do is related to action', 'repeat is related to do', 'play is related to do', 'need is related to want', 'desire is related to want']
Frankly, Mom, I'm encouraged to see how advanced your group has become-- willing to sail out into the ocean without fear of falling off the edge.	['crowd is related to group', 'band is related to group', 'class is related to group', 'organization is related to group', 'family is related to group', 'committee is related to group', 'pleased is similar to encouraged', 'encouraged is similar to pleased', 'bucked up is a synonym of encouraged', 'willing is similar to ready', 'ready is related to willing', 'willing is a synonym of volition', 'willing and able is similar to willing', 'consenting is similar to willing', 'willing is a synonym of on board', 'voluntary is related to willing', 'inclined is related to willing', 'You are likely to find a shark in any ocean', 'wave is related to ocean', 'sea is related to ocean', 'Somewhere a fish can be is in the ocean', 'the ocean is for sailing', 'coast is related to ocean', 'ocean is related to water', 'coast is related to edge', 'edge is related to cliff', 'edge is related to side', 'edge is related to sharp', 'edge is related to rim', 'edge is related to corner', 'edge is related to border', 'edge is related to knife', 'advanced is similar to late', 'advanced is similar to civilized', 'advanced is a synonym of sophisticated', 'late is similar to advanced', 'advanced is similar to high', 'advanced is similar to precocious', 'high is similar to advanced', 'sail is related to boat', 'sail is related to wind', 'sail is related to cloth', 'sail is related to boats', 'fear is an emotion', 'fear is related to emotion', 'fear is related to afraid', 'fear is related to scared', 'Something that might happen as a consequence of advancing into battle is fear', 'Something that might happen while dying is fear', 'fear would make you want to run', 'eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see']
We don't say that, either. I'll make you a list. Oh, that would be mighty white of you.	['say is related to speak', 'repeat is related to say', 'say is related to talk', 'mention is related to say', 'mighty is a synonym of mightily', 'powerful is similar to mighty', 'mighty is similar to powerful', 'make is related to create', 'manufacture is related to make', 'offer is related to make', 'produce is related to make', 'build is related to make', 'polish is related to make', 'distribution list is a type of list', 'list is a synonym of number', 'hit parade is a type of list', 'index is a way to list', 'short list is a type of list', 'key is a type of list', 'be is related to exist', 'being is related to to be', 'cloud is related to white', 'rice is related to white', 'snow is related to white', 'cotton is related to white', 'milk is related to white', 'paper is related to white', 'salt is related to white', 'sugar is related to white', 'egg is related to white']
So, this spring, I get to go to the International Space Station. Oh, my word, a trip to the heavens.	"['summer is related to spring', 'may is related to spring', 'a word is part of a sentence', 'a verb is a word', 'a letter is part of a word', 'A word is part of language', 'word is related to sentence', 'a word can mean things', 'earth is a word', 'a word can mean more than one thing', 'drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go', 'Something you need to do before you fall is trip', '""a person doesnt want to trip""', 'Something that might happen when you dance is trip', 'Something you might do while walking is trip', 'Something you might do while running after the ball is trip', 'trip is related to journey']"
No, I'm just allergic to people who get Nobel Prizes for no good reason.	['purpose is related to reason', 'because is related to reason', 'cause is related to reason', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good']
Yes, there's nothing quite like the slightly widened eyes of mildly startled.	['none is related to nothing', 'space is related to nothing']
You have a thing of paper clips right there.	['object is a kind of thing', 'paper is related to writing', 'paper is related to sheet', 'card is related to paper', 'paper is related to white', 'paper is related to wood', 'napkin is related to paper']
Oh, my God, that's where I know you from.	['']
No. You mean this was all a ruse? Oh, how could I be so stu...	['be is related to exist', 'being is related to to be', 'artifice is a synonym of ruse']
Well, if you don't mind looking like an orange traffic cone, great.	['Orange is a color', 'Orange is a colour', 'Pumpkins are orange', 'an orange is a citrus fruit', 'color is related to orange', 'Carrots are orange', 'great is related to good', 'great is related to alexander', 'cone is related to cream', 'cone is related to ice cream', 'cone is related to ice', '*Something you find in the street is traffic', 'sign is related to traffic', 'mind is related to brain', 'mind is for thinking', 'Emotion  is part of Mind.', 'mind is related to thinking']
said horrible things about each other in public... all in all, a pretty magical night.	['horrible is a synonym of horrifying', 'evening is related to night', 'dream is related to night', 'sleep is related to night', 'night is related to dark', 'moon is related to night', 'day is not night', 'public is not private', 'private is not public', 'magical is a synonym of sorcerous', 'foreign is related to other']
Oh, of course he is. She's very interesting. Did you know, when she was 14, she severed the webbing between her own toes?	['possess is related to own', 'have is related to own', 'You would buy something because you want to own it', 'property is related to own', 'webbing is a type of fabric', 'webbing is a type of tape', 'webbing is a type of web', 'course is related to golf', 'course is related to class', 'course is related to path', 'course is related to college', 'You would examine a thing because it is interesting']
You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.	['testicle is a synonym of testis', '*Something you find in the corner is Dust', 'edge is related to corner', '*Something you find in the corner is a spider web', '*Something you find in the corner is a right angle', 'corner is related to walls', 'You are likely to find a corner shop in a corner', '*Something you find in the corner is a dunce', 'corner is related to angle', 'foreign is related to other', 'eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see', 'lodge is a synonym of stick', 'lodge is a way to inhabit', 'hogan is a type of lodge']
Hmm. That's too bad. We could have spent New Year's Eve waiting for the ball to drop.	['ball is related to round', 'a ball is a toy', 'ball is related to toy', 'A ball is round', 'ball is related to sphere', 'a ball can bounce', 'A ball can roll down hill', 'eye is related to ball', 'drop is related to fall', 'drop is related to rain', 'drop is related to water', 'drop is related to let', 'drop is related to falling', 'drop is related to tear', 'drop is related to go', 'Something you might do while waiting is read', 'standing in a queue requires waiting', 'Something that might happen as a consequence of standing in line is waiting', 'Something you might do while having an examination is waiting', 'waiting is a synonym of ready and waiting', 'getting in line requires waiting', 'waiting is a synonym of wait', 'Stealing is bad', 'trouble is related to bad', 'Killing is bad', 'Cancer is bad', 'Evil is bad', 'racism is bad', 'Hurting other people is bad', 'evil is related to bad', 'punishment is related to bad', 'have is related to possess', 'have is related to own', 'must is related to have', 'need is related to have']
Sure. You want to see what all the scientists are wearing this year.	['month is related to year', 'year is related to time', 'birthday is related to year', 'year is related to months', 'year is related to twelve', 'year is related to twelve months', 'year is related to annual', 'year is related to days', 'eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see']
You'd think a winner could make a decent cup of cocoa.	['A cup can hold liquids', 'glass is related to cup', '*Something you find on a table is cup', 'a cup is for drinking', 'a cup is used for measuring liquids', 'mug is related to cup', 'Somewhere a cup can be is on a shelf', 'You are likely to find a cup in a dishwasher', 'If you want to contemplate then you should think', 'If you want to create an idea then you should think', 'Something you might do while answering questions is Think', 'One of the things you do when you analyse something is think', 'One of the things you do when you contemplate is think', 'If you want to answer questions then you should think', 'Something you need to do before you talk to someone is think', 'decent is a synonym of decently', 'decent is related to clean', 'decent is similar to modest', 'decent is related to proper', 'decent is a synonym of satisfactory', 'medalist is a type of winner', 'winner is a synonym of achiever', 'cocoa is a type of beverage', 'cocoa is a type of foodstuff', 'make is related to create', 'manufacture is related to make', 'offer is related to make', 'produce is related to make', 'build is related to make', 'polish is related to make']
Oh, I see why you're confused. No, her news sounded important, but what you're forgetting is, it was an achievement in the field of biology. That's all about yucky, squishy things.	['news is related to information', '*Something you find on television is news', 'news is related to paper', 'news is related to daily', 'news is related to current', 'news is related to events', 'news is related to tv', 'You would read a newspaper because you want the news', 'biology is a science', 'science is related to biology', 'squishy is a synonym of squashy', 'crop is related to field', '*Something you find in a field is wheat', 'field is related to area', '*Something you find in a field is a snake', 'You are likely to find corn in a field', 'You are likely to find a grape in field', 'You are likely to find a field in the country', '*Something you find in a field is grass', 'You are likely to find an apple tree in field', 'achievement is a synonym of accomplishment', 'capital is related to important']
No, but maybe she wants a man with a pocket watch.	['wallet is related to pocket', '*Something you find in a pocket is a pen', '*Something you find in a pocket is keys', '*Something you find in a pocket is a key', '*Something you find in a pocket is a wallet', '*Something you find in a pocket is money', 'You are likely to find a penny in your pocket', '*Something you find in a pocket is your hand', '*Something you find in a pocket is lint', 'boy is related to man', 'man is related to person', 'fellow is related to man', 'father figure is a type of man', 'watch is related to time', 'watch is related to wrist', 'watch is related to clock', 'observe is related to watch', 'watch is related to timepiece', 'a watch is used for keeping track of time', 'a watch is used for time']
Well, yeah, sex with you is pretty great. Have you ever tried it?	['Sex is fun', 'Sex is an activity', 'Sometimes sex causes children', 'Sex can be pleasurable', 'Sex is good', 'Sometimes sex causes an orgasm', 'great is related to good', 'great is related to alexander']
Well, that wady took high-wes pictures of my junk wast night for Cwaigswist.	['evening is related to night', 'dream is related to night', 'sleep is related to night', 'night is related to dark', 'moon is related to night', 'day is not night', '*Something you find under the bed is junk', '*Something you find in a drawer is junk']
You mean for a person whose neck massages feel like an eagle is trying to carry you to its nest?	"['You can use a carrier bag to carry', 'carry is related to hold', 'carry is related to lift', 'carry is related to holding', 'carry is related to bring', 'neck is related to head', 'neck is related to body', 'a neck is for Supporting a head', 'neck is related to shoulders', 'neck is related to part', 'neck is related to body part', 'neck is related to below', 'person is related to human', 'A person can cross a street', 'A person can thank another person', 'a person can voice an opinion', 'person can wind clock', 'doll is related to person', 'character is related to person', 'a person wants a headache', 'a person wants clothing', 'A slave is a person', '""a person doesnt want to be diseased""']"
"Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash."""	['drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go', 'terrific is a synonym of terrifying', 'intense is similar to terrific', 'terrific is similar to intense', 'terrific is a synonym of fantastic', 'Love would make you want to kiss someone', 'love would make you want to propose to a woman', 'love is a feeling', 'Love would make you want to forgive someone', 'You would propose to a woman because you love her', 'You are likely to find a human in love', '*Something you find in space is a star', '*Something you find in space is the moon', 'room is related to space', '*Something you find in space is planets', '*Something you find in space is vacuum', 'space is related to outer', '*Something you find in space is a black hole', 'space is related to stars', 'fellow is related to guy', 'man is related to guy', 'foreign is related to other']
Maybe that's because I'm not being challenged. It's the same reason Einstein failed math.	['same is a synonym of like', 'indistinguishable is similar to same', 'same is similar to selfsame', 'same is similar to duplicate', 'same is similar to cookie-cutter', 'same is similar to assonant', 'same is related to like', 'same is similar to indistinguishable', 'duplicate is similar to same', 'division is related to math', 'math is a subject', 'Math is a subject in school', 'arithmetic is a type of math.', 'topology is a type of math.', 'divide is related to math', 'adding up a column of numbers requires math', 'You are likely to find a triangle in math', 'geometry is a type of math.', 'ring theory is a type of math.', 'purpose is related to reason', 'because is related to reason', 'cause is related to reason']
Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.	"['double is related to single', 'unit is related to single', 'person is related to single', 'page is related to single', 'one is related to single', 'double is not single', 'biology is a science', 'science is related to biology', 'a genius can smoke a joint', 'steady is similar to firm', 'steady is a synonym of steadily', 'steady is related to even', 'steady is similar to secure', 'steady is similar to steady-going', 'certain is related to sure', 'a puzzle is a problem', 'trouble is related to problem', 'problem is related to math', 'problem is related to issue', 'problem is related to solution', '""You are likely to find hair in someones head""', 'wool is related to hair', 'hair can fall out', 'hair is part of your head', 'Mammals have hair', 'hair is used for warmth']"
Oh, screw her. She's just lucky we let her hang out with us.	['lucky is related to fortunate', 'lucky is similar to apotropaic', 'hang is related to noose', 'hang is related to death', 'hang is related to suspend', 'hang is related to rope', 'drop is related to let', 'let is related to allow', 'let is related to rent', 'let is related to permit']
I'm sorry, it's the bad boy attitude that comes with this hair.	"['regret is related to sorry', 'reverence is a type of attitude', 'trim is a type of attitude', 'attitude is a type of orientation', '""You are likely to find hair in someones head""', 'wool is related to hair', 'hair can fall out', 'hair is part of your head', 'Mammals have hair', 'hair is used for warmth', 'boy is related to male', 'boy is related to child', 'boy is related to man', 'boy is related to young', 'boy is related to girl', 'boy is not girl', 'son is related to boy', 'Stealing is bad', 'trouble is related to bad', 'Killing is bad', 'Cancer is bad', 'Evil is bad', 'racism is bad', 'Hurting other people is bad', 'evil is related to bad', 'punishment is related to bad']"
Also instead of just living in your mother's house, you could actually live inside her body.	['mother is related to parent', 'mother is related to female', 'daughter is related to mother', 'mother is related to woman', 'mother is related to mom', 'family is related to mother', 'home is related to live', 'Something you need to do before you live is be born', 'The last thing you do when you Live is Die', 'You would breathe because you want live', 'One of the things you do when you live is breathe', 'Humanity wants to live', 'Something you need to do before you die is live', 'home is related to house', 'room is related to house', '*Something you find in a house is a computer', '*Something you find in a house is a carpet', 'nest is related to house', 'door is related to house', 'house is related to building', '*Something you find in a house is your bedroom', 'body is related to human', 'head is related to body', 'hand is related to body', 'eye is related to body', 'leg is related to body', 'bone is related to body', 'body is related to person']
...to all the good times we had, like, uh, when we went camping and spent that night telling each other all our secrets. I told him I'm addicted to pedicures and he told me he lost his virginity to his cousin.	['evening is related to night', 'dream is related to night', 'sleep is related to night', 'night is related to dark', 'moon is related to night', 'day is not night', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'virginity is a type of condition', 'first cousin is a synonym of cousin', 'foreign is related to other']
How about you? Did you have a fun night? Yeah, we, uh, made gift bags, had wine, and then went online and saw this.	['evening is related to night', 'dream is related to night', 'sleep is related to night', 'night is related to dark', 'moon is related to night', 'day is not night', 'online is a synonym of on-line', 'on-line is a synonym of online', 'online is similar to current', 'online is a synonym of on-line', 'current is similar to online', 'Sex is fun', 'party is related to fun', 'The effect of playing is fun.', 'The effect of playing a game with your friends is fun', 'play is related to fun', 'playing sports is for fun', 'Something that might happen when you play games is fun', 'going to a party is for fun', 'game is related to fun', 'present is related to gift', 'reward is related to gift', 'a present is a gift', 'You are likely to find a gift in gift shop', 'Wine contains alcohol', 'wine is for Drinking', 'wine is a beverage', 'wine is related to grapes', 'wine is related to alcohol', 'wine is related to drink', 'wine is related to grape', 'Wine is an alcoholic beverage', 'wine is related to alcoholic', 'wine is related to fermented']
Not exactly. Listen, if you don't mind, I'm not really up for chatting. I'm just going to sit here quietly and let my life flash before my eyes.	['drop is related to let', 'let is related to allow', 'let is related to rent', 'let is related to permit', 'The first thing you do when you attend a lecture is sit', 'chair is related to sit', 'seat is related to sit', 'You can use a folding chair to sit', 'You can use a club chair to sit', 'flash is related to light', 'flash is related to camera', 'Camera has a flash', 'mind is related to brain', 'mind is for thinking', 'Emotion  is part of Mind.', 'mind is related to thinking', 'death is part of life.', 'water is life', 'Life is finite', 'Life is for living', 'The effect of living is life', '*Something you find on earth is life', 'a person wants life', 'life is good']
Darn. If you weren't busy, I'd ask you to join us.	['crowd is related to busy', 'If you want to get some money from someone then you should ask', 'ask is related to question', 'join is related to together', 'connect is related to join']
I am talking to a man in space. If you don't have the (walkie-talkie static) then he might as well be at the Coffee Bean over on Lake Street.	['atmospherics is a synonym of static', 'static is a type of criticism', 'static is a synonym of electrostatic', 'static is a synonym of motionless', '*Something you find in space is a star', '*Something you find in space is the moon', 'room is related to space', '*Something you find in space is planets', '*Something you find in space is vacuum', 'space is related to outer', '*Something you find in space is a black hole', 'space is related to stars', 'be is related to exist', 'being is related to to be', 'boy is related to man', 'man is related to person', 'fellow is related to man', 'father figure is a type of man', 'have is related to possess', 'have is related to own', 'must is related to have', 'need is related to have']
I'm starting to get a sense of it.	['Something you need to do before you get something is ask for it', 'If you want to get something then you should reach for it', 'get is related to receive', 'get is related to acquire', 'get is related to obtain', 'taste is related to sense', 'touch is related to sense', 'smell is related to sense', 'feel is related to sense', 'hear is related to sense']
Well, if that's all it takes, it's a good thing you don't have a dog.	['object is a kind of thing', 'have is related to possess', 'have is related to own', 'must is related to have', 'need is related to have', 'dog can bark', 'A dog can guard your house', 'dog is related to pet', 'dog is related to animal', 'You are likely to find a dog in a kennel', 'flea is related to dog', 'dog is related to canine', 'A dog can be a pet', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good']
Of course, it is... it's been in the news. And it's a very famous boson.	['news is related to information', '*Something you find on television is news', 'news is related to paper', 'news is related to daily', 'news is related to current', 'news is related to events', 'news is related to tv', 'You would read a newspaper because you want the news', 'boson is a kind of elementary particle.', 'photon is a kind of boson.', 'boson is a type of particle', 'gauge boson is a type of boson', 'famous is related to celebrity', 'famous is related to known', 'famous is related to well', 'famous is related to well known', 'course is related to golf', 'course is related to class', 'course is related to path', 'course is related to college']
