id	sentence	utterance
50	Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.	['vaccinia is a type of infection', 'infection is a synonym of contagion', 'superinfection is a type of infection', 'toxoplasmosis is a type of infection', 'paronychia is a type of infection', 'inattentive is similar to oscitant', 'inattentive is similar to negligent', 'inattentive is similar to dreamy', 'dreamy is similar to inattentive', 'inattentive is similar to absentminded', 'inattentive is related to unmindful', 'inattentive is similar to distracted', 'smell is related to nose', 'nose is related to face', 'You are likely to find a nose in your face', 'sneeze is related to nose', 'nose is related to organ', 'nose is related to smelling', 'nose is related to smell', 'nose is related to part', 'eye is related to nose', 'run is related to fast', 'Something that might happen when you run is you sweat', 'An activity a dog can do is run', 'run is related to walk', 'run is related to walking', 'run is related to jog', 'blood is related to red', 'Blood can be coursing through your veins', 'blood is related to fluid', 'blood is related to liquid', 'blood is related to body', 'blood is related to veins', 'blood is a bodily fluid', 'Risk is a board game', 'danger is related to risk', 'farm is related to barn', 'You are likely to find a stall in the barn', 'You are likely to find a cat in in a barn', 'You are likely to find a cat in the barn', 'a barn is for keeping animals', 'You are likely to find a barn in the country', 'a surgeon is a doctor', 'doctor is related to surgeon', 'opportunity is a type of possibility', 'possibility is a synonym of hypothesis', 'spider is a kind of arachnid', 'An activity a spider can do is spin webs', 'web is related to spider', 'spider is related to arachnid']
51	I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.	"['pride would make you want to compete against someone', 'hour is related to time', 'hour is related to minutes', 'hour is related to sixty', 'minute is related to hour', 'hour is related to sixty minutes', 'hour is related to measurement', 'morning is related to day', 'morning is related to time', 'morning is related to early', 'morning is related to sunrise', 'morning is related to dawn', 'morning is related to before', 'morning is related to early day', ""You are likely to find hair in someone's head"", 'wool is related to hair', 'hair can fall out', 'hair is part of your head', 'Mammals have hair', 'hair is used for warmth', 'If you want to pee then you should find a toilet', 'a penis can pee.', 'Something you might do while sitting down is pee', 'pee is a synonym of urine', 'pee is a synonym of make', 'You can use a pool to pee', 'pee is a synonym of peeing', 'You are likely to find water in pee']"
52	I love that you're too good to pee in the kitchen sink.	['Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'If you want to pee then you should find a toilet', 'a penis can pee.', 'Something you might do while sitting down is pee', 'pee is a synonym of urine', 'pee is a synonym of make', 'You can use a pool to pee', 'pee is a synonym of peeing', 'You are likely to find water in pee', '*Something you find in the kitchen is food', 'You are likely to find a potato in kitchen', '*Something you find in the kitchen is a knife', '*Something you find in the kitchen is a sink', 'You are likely to find a corner cupboard in the kitchen', 'You are likely to find a table in a kitchen', '*Something you find in the kitchen is a fork', '*Something you find in the kitchen is a plate', 'You are likely to find a mouse in a kitchen', '*Something you find in the kitchen is a sink', 'You are likely to find water in a sink', 'You are likely to find a hot tap in a sink', 'You are likely to find a faucet in the sink', 'You are likely to find a kitchen utensil in the sink', 'You are likely to find a soap dish in the sink', '*Something you find in a house is a sink', 'You are likely to find a water spout in the sink']
53	So as they say, all good things must come to an end.	['Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'return is related to come', 'arrive is related to come', 'come is related to arrive', 'end is related to finish', 'end is not beginning']
54	Doesn't Professor Abbott's family want any of this stuff?	['property is related to stuff', 'home is related to family', '*Something you find at your house is your family', 'family is related to group', 'a person wants have a family', 'daughter is related to family', '*Something you find in a family is love', 'family is related to people']
55	I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.	"['discover is related to find', 'find is related to search', 'find is related to discover', 'find is related to locate', 'find is related to seek', 'death is part of life.', 'water is life', 'Life is finite', 'Life is for living', 'The effect of living is life', '*Something you find on earth is life', 'a person wants life', 'life is good', 'accomplish is a synonym of carry through', 'a person wants to accomplish', 'accomplish is a synonym of achieve', 'fact is related to truth', ""a person doesn't want the truth"", 'the truth is out there', 'dare is related to truth', 'lie is the opposite of truth', 'honest is related to truth', 'cry is related to sad', 'One of the things you do when you are sad is crying', 'You would cry because you are sad', 'Something that might happen when you are sad is cry', 'great is related to good', 'great is related to alexander', 'Words have meaning', 'little is related to small', 'little is related to tiny', 'baby is related to little', 'Everyone is afraid of something', 'everyone wants to be happy', 'all is related to everyone', 'have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have']"
56	"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon."""	['say is related to speak', 'repeat is related to say', 'say is related to talk', 'mention is related to say', 'work is related to job', 'interview is related to job', 'servant is related to job', 'employ is related to job', 'farmer is related to job', 'area is a type of topic', 'topic is a synonym of subject']
57	Are you sure a dummy like me can handle something as complicated as a blanket?	['A handle is part of a door', 'door is related to handle', 'handle is related to door', 'handle is related to knob', '*Something you find in the fridge is a handle', 'You are likely to find a handle in door', 'lay figure is a type of dummy', 'cover is related to blanket', 'You are likely to find a blanket in a bedroom', 'A blanket can warm a person', 'a blanket is used for sleeping under']
58	No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.	['a mom can mother her baby', 'mother is related to mom', 'dad is related to mom', 'dad is not mom', 'family is related to mom', 'mom is a synonym of ma', 'a mom is a parent', 'turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct', 'do is related to action', 'repeat is related to do', 'play is related to do', 'send is a synonym of transport', 'send is a way to transfer']
59	Is that why you had to take him to Office Depot last night?	['evening is related to night', 'dream is related to night', 'sleep is related to night', 'night is related to dark', 'moon is related to night', 'day is not night', 'rest is related to take', 'bring is related to take', 'accept is related to take', 'last is a synonym of in conclusion', 'last is similar to ultimate', 'dying is similar to last']
60	As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?	"['gain is related to increase', 'raise is related to increase', ""a person doesn't want anxiety"", 'Sometimes socialising causes anxiety', 'You are likely to find a cat in your way', 'door is related to way', 'evening is related to night', 'evening is related to time', 'evening is related to afternoon', 'evening is related to after', 'evening is related to day', 'evening is related to late', 'evening is related to dusk', 'flavourless is similar to tasteless', 'unpalatable is related to tasteless', 'barbaric is similar to tasteless', 'tasteless is similar to ostentatious', 'tasteless is related to unpalatable', 'tasteless is similar to campy', 'inelegant is related to tasteless', 'off-colour is similar to tasteless', 'Sometimes having a physical exam causes discomfort', 'soreness is a synonym of discomfort', 'uncensored is similar to unexpurgated', 'unexpurgated is similar to uncensored', 'You would find information because you want to know something', 'You would read the news because you want to know', 'You would learn because you want to know something', 'You would read a book because you want to know', 'A stranger is somebody you do not know', 'fork is a synonym of crotch', 'fork is a synonym of crotch', 'crotch is a synonym of genitalia', 'math is a subject', 'science is related to subject', 'history is related to subject', 'Geometry is a subject', 'science is a subject', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk']"
61	And how difficult it is to do when she's bloated, cranky and crampy?	['menstruation is generally crampy', 'having a period is generally crampy', 'difficult is related to hard', 'difficult is not easy', 'easy is not difficult', 'hard is related to difficult', 'do is related to action', 'repeat is related to do', 'play is related to do']
62	I've, uh, created some other user accounts so I can post positive comments about their paper.	['paper is related to writing', 'paper is related to sheet', 'card is related to paper', 'paper is related to white', 'paper is related to wood', 'writing is related to paper', 'napkin is related to paper', 'positive is similar to affirmative', 'positive is a part of slide', 'confirming is a synonym of positive', 'affirmative is similar to positive', 'positive is similar to Gram-positive', 'positive is a type of film', 'post is related to mail', 'letter is related to post', 'post is related to fence', 'post is related to after', 'foreign is related to other', 'utilizer is a type of user', 'user is a synonym of exploiter', 'end user is a type of user', 'user is a type of person']
63	The answer's in this puzzle box. Let's see if you can open it.	['You are likely to find a puzzle in the newspaper', 'a puzzle is used for a mental challenge', 'You are likely to find a puzzle in a toy store', 'You are likely to find a piece in puzzle', 'a puzzle is for mental stimulation', 'a puzzle is used for entertainment', 'a puzzle is a problem', 'box is related to container', 'a box is a container', 'box is related to cardboard', 'box is related to cube', 'box is related to square', 'You are likely to find a box in any garage', 'If you want to read the newspaper then you should open it', 'door is related to open', 'wound is related to open', 'a door can open.', 'If you want to read a book then you should open it', 'field is related to open', 'eye is related to see', 'look is related to see', 'view is related to see', 'a person wants to see', 'window is related to see', 'clear is related to see', 'glass is related to see', 'reply is related to answer', 'answer is related to question', 'answer is related to response', 'answer is related to reply', 'question is related to answer', 'answer is related to solution', 'answer is the opposite of question']
64	No, Stuart picked out those throw pillows all on his own.	['possess is related to own', 'own is related to possess', 'have is related to own', 'You would buy something because you want to own it', 'property is related to own', 'own is related to have', 'You can use a basketball to throw', 'pass is related to throw']
65	Not much, but he seemed to be in a pretty good place.	['bed is related to place', 'A college is a place', 'bar is related to place', 'farm is related to place', 'home is related to place', 'A city is a place', 'place is related to location', 'school is related to place', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good', 'much is related to lot', 'much is the opposite of little', 'price is related to much', 'be is related to exist', 'exist is related to to be', 'being is related to to be']
66	I don't know, perhaps somebody took it off the carousel by mistake?	['*Something you find at a carnival is carousel', 'somebody is a synonym of person', 'mistake is related to error', 'a mistake can anger a person', 'error is related to mistake', 'mistake is related to wrong', 'mistake is related to accident', 'You would find information because you want to know something', 'You would read the news because you want to know', 'You would learn because you want to know something', 'You would read a book because you want to know', 'A stranger is somebody you do not know']
67	This is why I've been saying we should keep champagne on ice.	['preserve is related to keep', 'You would record somethign because you want to keep it', 'keep is related to retain', 'keep is related to hold', 'Ice can cool a drink', 'Ice is a solid', 'ice is a solid', 'snow is related to ice', 'Ice is hard', 'Champagne is an alcoholic beverage', 'Champagne is a French sparkling wine', 'Champagne is a type of sparkling wine']
68	Yeah, turns out half a dozen menorahs really sets a mood.	['optative mood is a type of mood', 'mode is a synonym of mood', 'dozen is a synonym of twelve', 'dozen is a synonym of 12']
69	Yeah, we just want to have the kind of dinner that we've all had here so many times before.	['People can be kind', 'kind is related to nice', 'plate is related to dinner', 'dinner is a kind of meal', 'napkin is related to dinner', 'Sometimes following a recipe causes dinner', '*Something you find at dinner is bread', '*Something you find at dinner is drinks', 'few is not many', 'many a is a synonym of many another', 'many is related to lot', 'few is the opposite of many', 'have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have']
70	Yeah, good for you, Leonard. That's a lovely little notion. Kind of like, I wish I could talk to my uncle in Chicago. Yeah, now stand back while I invent the telephone. Hello? Oh, hold on. Leonard, it's your uncle. He says you just got burned.	"['*Something you find on your desk is telephone', 'You can use a telephone to communicate', 'call is related to telephone', '*Something you find in the office is a telephone', 'A telephone is a communication device', 'hold is related to grasp', 'carry is related to hold', 'hold is related to grab', 'keep is related to hold', 'hold is related to keep', ""Your uncle is your parent's brother"", ""an uncle is your father's brother"", 'You are likely to find an uncle in a house', 'mumpsimus is a type of notion', 'whimsey is a synonym of notion', 'notion is a type of concept', 'notion is a type of idea', 'talk is related to speak', 'Something that might happen when you talk is someone will listen', 'Something that might happen when you talk is open mouth', 'talk is related to communication', 'One of the things you do when you express information is to talk', 'Something you might do while communicating is talk', 'having a conversation requires you to talk', 'One of the things you do when you make a phone call is talk', 'An activity a friend can do is talk', 'Something you might do while enjoying the company of your friends is talk', 'little is related to small', 'little is related to tiny', 'baby is related to little', 'Sex is good', 'Good can battle evil', 'quality is related to good', 'some people are good', 'Good is the opposite of Evil', 'great is related to good', 'cake is related to good', 'excellent is related to good']"
71	It's why my people wandered the desert for 40 years. Took that long to walk it off.	['dress is related to long', 'ago is related to long', 'rifle is related to long', 'hall is related to long', 'far is related to long', 'rabbit is related to long', 'river is related to long', 'You can use a floor to walk', 'walk is related to slow', 'run is related to walk', 'walk is related to movement', 'Something you need to do before you walk is stand up', 'You would walk because you want some exercise', 'cake is related to desert', 'You are likely to find sand in desert', 'desert is a type of terrain', 'sand is related to desert', 'desert is related to sand', 'desert is related to dry', 'desert is related to hot', 'desert is related to sandy', 'desert is related to place', '*Something you find in the desert is cacti']
72	All right, Amy's in charge of pricing and being 75.	['turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct', 'charge is related to credit', 'tax is related to charge', 'charge is related to card', 'pricing is a type of evaluation', 'price gouging is a type of pricing']
73	And if I had a friend, they might have told me that.	"['a friend is for confiding', 'dog is related to friend', 'An activity a friend can do is talk', 'a friend is used for companionship', 'friend is related to buddy', 'enemy is not friend', 'friend is related to pal', ""*Something you find at a friend's wedding is your friend"", 'A friend can come over', 'A friend can keep a secret', 'enemy is the opposite of friend', 'have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have']"
74	Then buckle up; you're in for a cranky night.	['evening is related to night', 'dream is related to night', 'sleep is related to night', 'night is related to dark', 'moon is related to night', 'day is not night', 'cranky is used in the context of boat', 'tippy is a synonym of cranky', 'crank is a synonym of cranky', 'cranky is similar to unstable', 'unstable is similar to cranky', 'tender is a synonym of cranky', 'cranky is a synonym of nettlesome']
75	Oh, just put it in your mouth and pop it like a zit.	['pimple is related to zit', 'a zit is a kind of pimple.', 'zit is a synonym of pimple', '*Something you find in your mouth is teeth', '*Something you find in your mouth is your tongue', 'lip is related to mouth', 'taste is related to mouth', 'You are likely to find a tooth in your mouth', 'A mouth has lips', 'napkin is related to mouth']
76	No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force.	['touch is related to feel', 'feel is related to touch', 'feel is related to sense', 'upset is a type of disturbance', 'havoc is a type of disturbance', 'need is related to want', 'need is related to requirement', 'need is related to desire', 'need would make you want to buy something', 'You would buy products because you need them', 'need is related to necessity', 'need is related to require', 'need is related to must', 'airspace is a type of space', 'airspace is a part of atmosphere', 'air space is a synonym of airspace', 'airspace is a type of atmosphere']
77	Uh, no. I overheard Bernadette tell Howard she was making him a meat loaf, and you don't have to not ask me twice.	['have is related to possess', 'have is related to own', 'must is related to have', 'possess is related to have', 'need is related to have', 'own is related to have', 'chicken is a type of meat', 'chicken is related to meat', 'You can use meat to eat', 'You are likely to find meat in the butcher shop', 'butcher is related to meat', 'meat is used for eating', 'If you want to get some money from someone then you should ask', 'ask is related to question', 'question is related to ask', 'bread is related to loaf', '*Something you find in a breadbox is a loaf']
78	Oh, yes, we've got the moon and the trees and... Elizabeth McNulty, who apparently died when she was the same age I am.	['age is related to old', 'birthday is related to age', 'age is related to years', 'age is related to number', 'age is related to how', 'age is related to how old', 'age is related to birthday', 'same is a synonym of like', 'indistinguishable is similar to same', 'same is similar to selfsame', 'same is similar to duplicate', 'same is similar to cookie-cutter', 'same is similar to assonant', 'same is related to like', 'same is similar to indistinguishable', 'duplicate is similar to same', '*Something you find in space is the moon', '*Something you find on the moon is rocks', '*Something you find on the moon is an American flag', '*Something you find on the moon is a crater', 'moon is related to earth', 'You are likely to find the Moon in orbit around the earth']
79	Wow, there's a Denny's in Vegas you can actually get married in.	['Something you need to do before you get something is ask for it', 'If you want to get something then you should reach for it', 'get is related to receive', 'get is related to acquire', 'get is related to obtain']
80	I guess he wants to do a little dance, you know, make a little love. Well pretty much get down to that.	['Something you need to do before you get something is ask for it', 'If you want to get something then you should reach for it', 'get is related to receive', 'get is related to acquire', 'get is related to obtain', 'dance is related to movement', 'dance is related to music', 'Something you might do while listening to music is dance', 'dance is related to ballet', 'If you want to dance then you should turn on some music', 'dance is related to waltz', 'dance is related to moving', 'twist is related to dance', 'little is related to small', 'little is related to tiny', 'baby is related to little', 'do is related to action', 'repeat is related to do', 'play is related to do', 'much is related to lot', 'much is the opposite of little', 'price is related to much', 'Love would make you want to kiss someone', 'love would make you want to propose to a woman', 'love is a feeling', 'Love would make you want to forgive someone', 'You would propose to a woman because you love her', 'You are likely to find a human in love']
81	You have to stop the Q-Tip when there is resistance	['stop is related to sign', 'stop is related to red', 'sign is related to stop', 'stop is related to halt', 'stop is not go', 'You are likely to find a stop in an organ', 'acoustic resistance is a type of resistance', 'reaction is a type of resistance', 'resistance is used in the context of psychiatry']
82	Joey if I go first, I want to be looking for my keys	['be is related to exist', 'exist is related to to be', 'being is related to to be']
83	Yes yes it is! In Prison!!	[]
84	Uh, so how many cameras are actually on you.	['few is not many', 'many a is a synonym of many another', 'many is related to lot', 'few is the opposite of many']
85	But younger than some buildings!	[]
86	And then and then you clicked it again, she's dressed. She is a business woman, she is walking down the street and oh oh oh she's naked.	['company is related to business', 'profit is related to business', 'a business is used for making money', 'farm is related to business', 'business is related to company', 'bare is similar to naked', 'overt is similar to naked', 'naked is similar to unassisted', 'naked is a synonym of defenseless', 'lady is related to woman', 'dress is related to woman', 'woman is related to female', 'girl is related to woman', 'mother is related to woman', 'woman is related to girl', 'woman is related to lady', 'street is related to road', 'road is related to street', '*Something you find on the street is a bicycle', '*Something you find in the street is traffic', 'a street is used for driving on', '*Something you find in the street is pedestrians', 'street is related to avenue']
87	Oh no don't go. I have scared you. I have said too much. I am hopeless and awkward and desperate for love.	['desperate is a synonym of dire', 'desperate is similar to imperative', 'desperate is a type of unfortunate', 'desperate is a synonym of do-or-die', 'hopeless is similar to impossible', 'despairing is similar to hopeless', 'hopeless is related to pessimistic', 'discouraging is related to hopeless', 'pessimistic is related to hopeless', 'hopeless is similar to unskilled', 'hopeless is related to discouraging', 'drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go', 'much is related to lot', 'much is the opposite of little', 'price is related to much', 'ungainly is similar to awkward', 'Love would make you want to kiss someone', 'love would make you want to propose to a woman', 'love is a feeling', 'Love would make you want to forgive someone', 'You would propose to a woman because you love her', 'You are likely to find a human in love']
88	Sounds like she has got the whole package!	['parcel is related to package', 'a piece is part of a whole', 'entire is related to whole', 'body is related to whole']
89	Yeah either that or gloria estefan was right eventually the rhythm is going to get you	['Something you need to do before you get something is ask for it', 'If you want to get something then you should reach for it', 'get is related to receive', 'get is related to acquire', 'get is related to obtain', 'turn is related to right', 'a person wants to be right', 'right is related to direction', 'right is related to correct', 'music is related to rhythm', 'dance is related to rhythm']
90	I'd miss you if I broke up with you. Just trying to be supportive.	['supportive is similar to appurtenant', 'certificatory is similar to supportive', 'demonstrative of is similar to supportive', 'substantiating is similar to supportive', 'supportive is similar to accessary', 'supportive is similar to certificatory', 'supportive is related to positive', 'accessary is similar to supportive', 'supportive is similar to substantiating', 'appurtenant is similar to supportive', 'positive is related to supportive', 'supportive is similar to supporting', 'miss is related to woman', 'be is related to exist', 'exist is related to to be', 'being is related to to be']
91	Oh, uh, no thanks. I just had an M&M.	[]
92	Okay, but if you are not coming back soon, there is pretty much nothing I can do about it	['none is related to nothing', 'space is related to nothing', 'much is related to lot', 'much is the opposite of little', 'price is related to much', 'do is related to action', 'repeat is related to do', 'play is related to do']
93	You can't do anything.	"['do is related to action', 'repeat is related to do', 'play is related to do', ""an inanimate object doesn't want anything""]"
94	I'll catch you guys later.	['Something that might happen when you fish is a catch', 'Something that might happen when you play frisbee is you catch it']
95	Really?	[]
96	"Our balcony? Seriously? That's so funny because I told Monica we should put lights on our balcony. - And she said - ""No no, its too cold, nobody will go out there.""  - I said ""Maybe if we put some lights out there they will""."	['Something you need to do before you make people laugh is be funny', 'laugh is related to funny', 'drop is related to go', 'leave is related to go', 'turn is related to go', 'stop is not go', 'climb is related to go', 'ready is related to go', 'Cold would make you want to light a fire', 'snow is related to cold', 'winter is cold', 'winter is related to cold', 'Sometimes getting wet causes you to be cold', 'cold is related to temperature', 'put is related to place', 'nobody is a synonym of cipher', 'You are likely to find a balcony seat in a balcony', '*Something you find at an opera is a balcony']
97	Oh my god, you almost gave me a heart attack!	['God is part of religion', 'God is a concept', 'You are likely to find god in heaven', 'God can be everywhere', 'You are likely to find god in church', 'attack is related to war', 'attack is related to fight', 'The heart is a muscle', 'home is related to heart', 'a heart is for pumping blood', 'the heart is part of a human body', 'The heart is part of the body', 'a heart is a pump for blood']
98	Janice? Janice?	[]
99	I am sorry, it was a one time thing. I was very drunk and it was someone else's subconscious	['*Something you find at a bar is drunk', 'minute is related to time', 'hour is related to time', 'clock is related to time', 'watch is related to time', 'time is related to clock', 'morning is related to time', 'evening is related to time', 'time is related to minutes', 'call is related to someone', 'someone is a synonym of person', 'subconscious is similar to unconscious', 'unconscious is similar to subconscious', 'subconscious is a synonym of subconscious mind', 'object is a kind of thing']
